student_id,gender,classification,classification_sub,nationality,sg_pr_status,course_years_remaining,faculty,offered,application_term,course
7,Male,Undergraduate,Freshman,Singapore,Non PR,3,Yong Loo Lin Sch of Medicine,Yes,2022-23 Semester 1 & 2,Bachelor of Science (Nursing)
310,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,No,2022-23 Semester 1 & 2,Bachelor of Computing
317,Male,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,Yes,2022-23 Semester 1 & 2,Bachelor of Science
378,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,No,2023-24 Semester 1 & 2,Bachelor of Computing
433,Male,Undergraduate,Senior UG,Singapore,Non PR,10,Multi Disciplinary Programme,No,2023-24 Semester 1 & 2,Bachelor of Engineering (CEG)
433,Male,Undergraduate,Senior UG,Singapore,Non PR,10,Multi Disciplinary Programme,No,2024-25 Semester 1 & 2,Bachelor of Engineering (CEG)
433,Male,Undergraduate,Senior UG,Singapore,Non PR,10,Multi Disciplinary Programme,No,2022-23 Semester 1 & 2,Bachelor of Engineering (CEG)
516,Female,Undergraduate,Senior UG,Singapore,Non PR,3,Yong Loo Lin Sch of Medicine,Yes,2023-24 Semester 1 & 2,Bachelor of Science (Nursing)
516,Female,Undergraduate,Freshman,Singapore,Non PR,3,Yong Loo Lin Sch of Medicine,Yes,2022-23 Semester 1 & 2,Bachelor of Science (Nursing)
534,Male,Undergraduate,Senior UG,Singapore,Non PR,6,Faculty of Arts & Social Sci,No,2023-24 Semester 1 & 2,Bachelor of Arts
534,Male,Undergraduate,Senior UG,Singapore,Non PR,6,Faculty of Arts & Social Sci,No,2022-23 Semester 1 & 2,Bachelor of Arts
616,Male,Undergraduate,Senior UG,Singapore,Non PR,6,YST Conservatory of Music,No,2022-23 Semester 1 & 2,Bachelor of Music
678,Male,Undergraduate,Senior UG,China,Non PR,8,Multi Disciplinary Programme,No,2022-23 Semester 1 & 2,Bachelor of Engineering (CEG)
687,Male,Undergraduate,USP Senior UG,Singapore,Non PR,5,Faculty of Arts & Social Sci,Yes,2022-23 Semester 1 & 2,Bachelor of Social Sciences
687,Male,Undergraduate,USP Senior UG,Singapore,Non PR,5,Faculty of Arts & Social Sci,Yes,2023-24 Semester 1 & 2,Bachelor of Social Sciences
754,Male,Undergraduate,Senior UG,Singapore,Non PR,6,Yong Loo Lin Sch of Medicine,Yes,2023-24 Semester 1 & 2,"Bach. of Med.,Bach. of Surg."
793,Male,Undergraduate,Senior UG,Singapore,Non PR,6,College of Design and Eng,No,2022-23 Semester 1 & 2,Bachelor of Engineering
793,Male,Undergraduate,Senior UG,Singapore,Non PR,6,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
794,Male,Undergraduate,Senior UG,Singapore,Non PR,NA,NA,No,2022-23 Semester 1 & 2,NA
799,Male,Undergraduate,USP Senior UG,Singapore,Non PR,6,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
